,text
1159929,"for the sake of history, I leave here ... that “explosion” of comments “cheers” straight to tears ... DPR LPR putin weloverussia Donetsk and Luhansk"
1160127,rendelllife invaders we'll kill you all you chose this path you're the end there is a chance to surrender but time goes tick tock tick tock stopputin stopwar stoprussianaggression ukraine ukrainerussia stoprussia standwithukraine no war
1160357,people from all over the world are signing this massive open letter against war add your vote and support the people of ukraine ukraine nowar standwithukraine
1160455,it is reported that sounds of small arms are heard from the center of kiev kyiv kiev ukraineunderattack
1160734,remnants from brothers kharkov stop russian aggression ukraine war ukraine russian armored personnel carrier
1160889,salovnarezku fascist regime does not exist Putin's media are brainwashing you all it was a fantastic democratic country and now people are dying because of Putin this is not Russia's war Putin wants power ukraine
1162450,"Ukrainian businessman of Syrian origin tarik aljasem formed a detachment at his own expense to protect ukraine ""we will defend ourselves to the end, i will not let my house be destroyed again"" ukraine russia ukrainewar ukraine russiaukraineconflict ukrainerussia war"
1162727,Nemtsov is so right and so relevant that for a second there was a feeling that he was speaking today that he was alive listen to the news ukraine news ukraine
1162831,disgustingmen occupiers we will kill you all you chose this path yourself you have a chance to surrender but time goes tick tock tick tock stopputin stopwar stoprussianaggression ukraine ukrainerussia stoprussia standwithukraine no war
1163193,disgustingmen occupiers we will kill you all you chose this path yourself you have a chance to surrender but time goes tick tock tick tock stopputin stopwar stoprussianaggression ukraine ukrainerussia stoprussia standwithukraine no war
1165836,bno news confirms on Monday there will be a disaster on the Russian foreign exchange market
1166322,"resident of the liberated village of Yaroshik, Kherson region “everyone is for Russia, most of course, I mean also Ukrainians, hello Russia” Ukraine ukrainerussia ukraine ukraina russianarmy russia"
1166493,"All over the world publishes data on allegedly dead Russian soldiers according to official figures, the figure is many times less do not be fooled information is confirmed from official sources ukraine russia ukraine russia"
1166560,about the emergence of new imperialist countries the new imperialist revival of russia mlpd ukraine putin ukraina
1166707,I couldn't fall asleep by itself somehow it happened ukraine russia russia dnr zelensky
1166981,"such silence outside the window as if nothing had happened, I even forgot myself for a second stopwar standwithukraine no war ukraine kharkiv russiaukrainewar slavaukraini"
1168134,"the war between Russia and Ukraine is aggravated not only by the victims and the wounded, but also by the people's hatred for each other, each country has revealed its guise, each person has shown himself not to war putin"
1168726,"perhaps twitter will block me, but I don’t care anymore remembering all the horrors that the Ukrainians did, I’m ashamed that we didn’t do what we are doing now about the children’s beach, I didn’t even know ... russia ukraine russia ukraine donbass"
1169639,all the guys came for years screaming about the greatness of the cool and all bent over Putin and so on you morons have so many discoveries ahead
1170188,Chechen General Magomed Tushaev kills Kadyrov's motorized infantry unit leader in Hostomel ukraine nowar
1170551,this is the attitude to war that the whole world should have no war❤️ yes hugs🥰 russiaukraineconflict nowar ukrainerussia russiaukraine pace stopthewar ❤️
1172679,"Ukrainian special forces alpha destroys Chechens from the army of the Russian Federation in Gostomel, also fighting there are volunteer battalions who are very cruel with the Chechens Gostomel must completely repel people's deputy Goncharenko news ukraine news ukraine"
1172801,"if, after the last nights of defense, someone says that Ukraine does not meet NATO standards, then I don’t even know what standards you still lack, thank the evil forces of Ukraine, of course, it’s too early to rejoice, but Kyiv has survived so far ukraine"
1174060,Ukrainian military destroyed a convoy with militants from Chechnya no war ukraine
1174071,elonmusk launches starlink service for ukrainewar ️ ukrainewar
1174370,Nemtsov is so right and so relevant that for a second there was a feeling that he was speaking today that he was alive listen to the news ukraine news ukraine
1175897,glory to ukraine glory to worthy and fearless heroes we stand with ukraine ❤️ staystrongukraine ✊ ukraine slavaukraini georgiastandwithukraine❤️
1176083,"if, after the last nights of defense, someone says that Ukraine does not meet NATO standards, then I don’t even know what standards you still lack, thank the evil forces of Ukraine, of course, it’s too early to rejoice, but Kyiv has survived so far ukraine"
1177165,anonymous hackers hacked russia central tv state website zhya and military alliance bna brainwashing propaganda impossible bna elonmusk starlink network in ukraine the world stands up to the aggressor as best it can
1177293,enemy missiles hit the nuclear repository in Kyiv our telegram channel odessa odessa odesa odessa ukraine ukraine ukraine
1178574,enemy missiles hit the nuclear repository in Kyiv our telegram channel odessa odessa odesa odessa ukraine ukraine ukraine
1182260,gas pipeline burns in Kharkov Danilovka microdistrict warinukraine stoprussia stopputin ukrainerussiawar stoprussianagression
1182699,finished rashists no war kharkiv ukraine stoprussianaggression ukrainerussia
1183796,russia show your hearts and conscience
1184222,"brothers, whoever reads it, it’s never possible to justify a war with brothers, I believe Ukraine is lagging behind its own and we Russians will have to prove with our work on ourselves that we are the best alternative to the future of Ukraine everything is so simple let’s fuck ukraine kiev russia"
1184298,kremlinrussia please remove your shiite leader ukrainerussiawar russianinvasion putinhitler putin ukraine
1184673,stoprussia fuck you putin
1185112,we are getting a significant amount of downloads due to protests in russia please never share personal or sensitive information on social media here is an article on how to use bridgefy ukrainerussia ukraine russia
1186404,yes of course the American drone was just in the area at that particular time doing nothing sounds plausible no the americans helped ukrainians attack russian ships transporting surrendered ukrainian soldiers ukraine america
1186490,we are going to release you they said there are no civilian casualties they said fckputin russia
1187116,Russian state TV channels were hacked by anonymous to broadcast the truth about what is happening in Ukraine
1187622,President Putin should also come to Miyagi ukraine putinisawarcriminal おい宮 kyiv
1187864,sorry can't tweet art link art artwork work pop popart bank soda gasstreet stopwar war nowar ukraine world omsk graffiti animation anime cartoon
1188230,russian warship go fuck yourself performed by the choir from kharkov slava ukraine ukraine ukraine kyiv kiev kharkiv kharkov kharkiv
1188381,thank you very much turkey for the bayraktar and ammunition delivered to it by ukraine it is worth more than a thousand words thank you very much
1188962,"people from different parts of the world write me words of support with whom they either played games once or crossed paths or just talked less often strangers ♥️ we can handle it, the whole world believes in us ️ stopwar stoprussia nowar ukraine ukraine"
1190468,sumy private sector veretinovka consequences of shelling of civilians terrorism militarycriminals warcrimes russiansoldiers of the national guard artillery ukrainerussiawar russiaukraineconflict ukrainenews ukrainerussia ukraine ukrainerussiawar
1190659,queen of the world for you hold ukraine mexico ukraine
1191437,scary in kharkov kharkov kharkov kharkov kharkov russia ukrainewarreport warinukraine aggressionrussia ukrainerussiacrisis ukraine ukraineconflict ukrainerussia ukrainerussiawar stopwar stopthewar putin putinswar putinhuilo putler ukrainiannews
1191538,dog with rabies ukraine russia putdownputin
1191783,"a new war has begun and journalists, activists and human rights activists in ukraine and russia can protect themselves from surveillance and censorship on the Internet using tor 🧵ukraine ukrainerussia"
1191800,Russian soldier rest on Ukrainian soil russiaukraine russiaukraineconflict russiaukraine russiacountryaggressor russianinvasion russiacountryterrorist terrorism ukrainewar ukrainewar ukraineunderattack russianworld russianspeople russiansoldier russiaukraine
1192082,residents of kherson report sounds of fighting on the western outskirts of the city near chernobaevka kamyshan and airport russia ukraine kyiv
1192843,anonymous you are beautiful don't stop I'm from Russia but I hate our government I wish victory to Ukraine
1195168,if you want to know the latest news about the war you can watch our video on youtube ukrania ukrainerussiacrisis ukraine kiew kyiv
1196446,ankarakusu dawn of the new world order ukrania stoprussia ukraineunderattack ukrainerussiawar Russia is waging a completely unjust war and world history will not forget this
1197624,"ukraineunderattack russia hundreds of people are already calling the line if your son/husband/father went “to the exercises” and there is no connection with them, call maybe they are in ukraine"
1198665,russia russian president russian government russian state media and russian military lies to the russian people about ukraine and its people ukraine is not a country of neonazis and drug addicts putin lies
1199541,war in ukraine russia captures luhansk via youtube ukraineunderattack
1200359,Russians look like this is what a real Patriotic war looks like and you are in this war fascist invaders standwithukraine russiagohome putinnerrussianowar
1200820,God rest the souls of those killed ☦️ novorossia donbass dnr lnr dpr lpr donbas russia russia ⛔ stopukrainegenocide stop ukraine nato nato osce un mkkk
1201051,people from all over the world are signing this massive open letter against war add your vote and support the people of ukraine ukraine nowar standwithukraine
1202296,"Putin's favorite drink for Russian dissidents - he calls it ""Chernobyl"" one part vodka one part radioactive ukraine russia putdownputin"
1203367,"for all Russians who do not know what your troops are doing in ukraine, with your tacit consent, they are killing our citizens and children, your troops without glory and honor behave like ordinary terrorists, shame on you, you will not be shaking hands and despised by the whole world ukriane kyiv"
1203563,attention kremlinrussiae all Russian generals should desert you will be considered heroes for the whole world remove putin return your land ukrainerussia russianarmy russaia kiyv minsk ukrainerussia
1204535,overview of the situation on the fronts of ukraine to sum up the day russia donbass eu europe ukraine russia donbass ukraine vsu kiev kharkov odessa dnepr mariupol lvov zaporozhye dnr lnr kherson nikolaev
1206241,Chechen General Magomed Tushaev kills Kadyrov's motorized infantry unit leader in Hostomel ukraine nowar
1206322,postnaukaru invaders we will kill you all you yourself have chosen this path you are the end there is a chance to surrender but time goes tick tock tick tock stopputin stopwar stoprussianaggression ukraine ukrainerussia stoprussia standwithukraine no war
1206324,The hyper-voiced putin speaks to usa from the standpoint of force
1206706,syria ukraine georgia russian army in action war Russian world in all its glory
1206783,orda reports that biden says that alternative to sanctions is the beginning of wwiiii
1207380,"Ukrainian businessman of Syrian origin tarik aljasem formed a detachment at his own expense to protect ukraine ""we will defend ourselves to the end, i will not let my house be destroyed again"" ukraine russia ukrainewar ukraine russiaukraineconflict ukrainerussia war"
1207425,reviews newstroy closethesky stoprussia hungary kyiv vasylkiv stopputin Kyiv
1207437,"for all Russians who do not know what your troops are doing in ukraine, with your tacit consent, they are killing our citizens and children, your troops without glory and honor behave like ordinary terrorists, shame on you, you will not be shaking hands and despised by the whole world ukriane kyiv"
1207518,arzamasacademy invaders we will kill you all you yourself have chosen this path you are the end there is a chance to surrender but time goes tick tock tick tock stopputin stopwar stoprussianaggression ukraine ukrainerussia stoprussia standwithukraine no war
1207838,ukraine first finland next will the Russian people follow a man who has gone mad and threatens to destroy the whole world overthrow putin russia
1208541,"Ukrainian businessman of Syrian origin tarik aljasem formed a detachment at his own expense to protect ukraine ""we will defend ourselves to the end, i will not let my house be destroyed again"" ukraine russia ukrainewar ukraine russiaukraineconflict ukrainerussia war"
1208793,rusvmeste occupiers we will kill you all you yourself have chosen this path you are the end there is a chance to surrender but time goes tick tock tick tock stopputin stopwar stoprussianaggression ukraine ukrainerussia stoprussia standwithukraine no war
1209049,rusvmeste occupiers we will kill you all you yourself have chosen this path you are the end there is a chance to surrender but time goes tick tock tick tock stopputin stopwar stoprussianaggression ukraine ukrainerussia stoprussia standwithukraine no war
1209171,rusvmeste occupiers we will kill you all you yourself have chosen this path you are the end there is a chance to surrender but time goes tick tock tick tock stopputin stopwar stoprussianaggression ukraine ukrainerussia stoprussia standwithukraine no war
1209274,olegtsarov occupiers we will kill you all you yourself have chosen this path you are the end there is a chance to surrender but time goes tick tock tick tock stopputin stopwar stoprussianaggression ukraine ukrainerussia stoprussia standwithukraine no war
1209293,azov battalion from ukraine is supported by nato and us with g
1209912,wreaths on road poles like beacons stoprussianaggression russia ukraine russiaukrainecrisis russia ukraine
1210497,russian army in full fire this is not human please please stop the war kiev nato eu stopwar russiaukrainewar russiaukraine ukrania
1210904,voffka putin remember hara-kiri the logical end of kamikaze tactics be the alpha male do it yourself and your pack will follow you
1211397,⚡️“it’s not clear where but very hard fucking fucked up” a shell hit in a residential area of ​​Kharkov ukraine stopwar nowar putin no war
1212007,voffka putin remember hara-kiri the logical end of kamikaze tactics be the alpha male do it yourself and your pack will follow you
1212248,"⚡️⚡️all Russian banks that have already come under international sanctions and, if necessary, other Russian banks will be disconnected from swift leads the German government to the decision of the West on new sanctions russia russiaukrainecrisis"
1212325,"❗️❗️❗️I ask for a massive retweet❗️❗️❗️ the guys, in addition to helping Ukrainian refugees who are now fleeing to Poland, also decided to create an application to warn civilians about an air attack stopwar no war standwithukraine ukrainewar ukraineunderattack ukraineinvasion"
1213818,Russians look like this is what a real Patriotic war looks like and you are in this war fascist invaders standwithukraine russiagohome putinnerrussianowar
1213985,sandymustache invaders we will kill you all you have chosen this path you are the end there is a chance to surrender but time goes tick tock tick tock stopputin stopwar stoprussianaggression ukraine ukrainerussia stoprussia standwithukraine no war
1214279,sandymustache invaders we will kill you all you have chosen this path you are the end there is a chance to surrender but time goes tick tock tick tock stopputin stopwar stoprussianaggression ukraine ukrainerussia stoprussia standwithukraine no war
1214729,rtrussian invaders we will kill you all you yourself have chosen this path you are the end there is a chance to surrender but time goes tick tock tick tock stopputin stopwar stoprussianaggression ukraine ukrainerussia stoprussia standwithukraine no war
1215000,rtrussian invaders we will kill you all you yourself have chosen this path you are the end there is a chance to surrender but time goes tick tock tick tock stopputin stopwar stoprussianaggression ukraine ukrainerussia stoprussia standwithukraine no war
1215084,ukrainian polish border exit queue ukraine polishborder poland kyiv
1215216,vladimiputine tu est fou nous n’en avions pas assez avec le ukrainerussia forever war ukraine is an unequal balance of power and hardly illegal calm down drink good vodka and kayak through the waters of the himalayan ranges it will calm you down and smoke weed
1215568,"for all Russians who do not know what your troops are doing in ukraine, with your tacit consent, they are killing our citizens and children, your troops without glory and honor behave like ordinary terrorists, shame on you, you will not be shaking hands and despised by the whole world ukriane kyiv"
1216677,Russians look like this is what a real Patriotic war looks like and you are in this war fascist invaders standwithukraine russiagohome putinnerrussianowar
1216800,ukrainian tonight bombed a russian military convoy of cars during the day there will be photos ukraine russia ukrainewar ukraine russiaukraineconflict ukrainerussia war stopputin
1216898,people from all over the world are signing this massive open letter against war add your vote and support the people of ukraine ukraine nowar standwithukraine
1216977,echomsknews invaders we will kill you all you have chosen this path you are the end there is a chance to surrender but time goes tick tock tick tock stopputin stopwar stoprussianaggression ukraine ukrainerussia stoprussia standwithukraine no war
1217157,"the only ones who are doing something other than words right now are anonymous, destroy him"
1217158,Chechens from the battalion of Dzhokhar Dudayev said that they would fight against Russia and Kadyrov on the side of Ukraine until the end Ukraine Russia ukrainewar ukraine russiaukraineconflict ukrainerussia war stopputin
1217228,“We appeal to the people of Ukraine “demand the criminal Kiev authorities to immediately remove all heavy weapons from their homes and residential areas of cities” of the Ministry of Defense Major General Igor Konashenkov no war in Ukraine anti-alarm ukraine stopwar Zelensky
1217958,"no standwithukraine war, a huge request to those who see it, help distribute leaflets because minors do not have such opportunities to help the situation, I and my friends can’t put them up, so if anyone plans to put up leaflets, use my"
1218650,Russians look like this is what a real Patriotic war looks like and you are in this war fascist invaders standwithukraine russiagohome putinnerrussianowar
1218771,"if you treat all Russians equally badly because of the war, then you better go out the window so at least you will be of some use fertilizer russia ukraine standwithukriane warinukraine helpukraine stoprussianaggression stopukrainianaggression"
1219146,russian president is weak he made a big mistake peace with ukraine against russia russian troops lose everywhere ukraine putin russia russia
1219169,no one wants conflict ＃russia ＃ukraine
1219420,Russian invasion of ukraine for some reason is by no means forgiven we strongly protest russia ukraine
1219430,so many times I came across news in which Russians living and working abroad were threatened with death that it becomes sad I wish you to meet the truck in the oncoming lane russia ukraine standwithukriane warinukraine helpukraine stoprussianaggression stopukrainianaggression
1220543,"⚡️ from open sources, the financial director of ""gazprom"" committed suicide russia russia gazprom gazprom war"
1220927,more than a million people from all over the world have already signed a large-scale open letter against the war add your voice and support the people of ukraine nowar standwithukraine standwithukriane​
1223340,zelenskyyua putin russianarmy listen every russian soldier who surrenders to the ukrainians will get asylum in the west i think this is a victorious idea from the artist aigars biksha countries that don't give weapons ua give asylum
1223702,excellent piece on chechnia role in russia invasion of ukraine why kadyrov won't send his children there
1225699,people from all over the world are signing this massive open letter against war add your vote and support the people of ukraine ukraine nowar standwithukraine
1225862,vasylkiv since we saw him from the window kyiv ukraine
1226334,people from all over the world are signing this massive open letter against war add your vote and support the people of ukraine ukraine nowar standwithukraine
1226842,There was a Jewish family with a son in Ukraine. His son was killed by the Nazis. One of his sons survived.
1227607,meanwhile in berlin under the russian embassy standwithukraine stoprussianaggression ukrainewillresist russiainvadedukraine putin war
1227656,ukrainian tonight bombed a russian military convoy of cars during the day there will be photos ukraine russia ukrainewar ukraine russiaukraineconflict ukrainerussia war stopputin
1227781,granitweet occupiers we will kill you all you chose this path yourself you have a chance to surrender but time goes tick tock tick tock stopputin stopwar stoprussianaggression ukraine ukrainerussia stoprussia standwithukraine no war
1228210,respublicanez occupiers we will kill you all you yourself have chosen this path you are the end there is a chance to surrender but time goes tick tock tick tock stopputin stopwar stoprussianaggression ukraine ukrainerussia stoprussia standwithukraine no war
1228290,Ukrainian President Zelensky fled the capital to Lviv on Friday
1228648,demurastepan occupiers we will kill you all you yourself have chosen this path you are the end there is a chance to surrender but time goes tick tock tick tock stopputin stopwar stoprussianaggression ukraine ukrainerussia stoprussia standwithukraine no war
1228659,remnants from brothers kharkov stop russian aggression ukraine war ukraine russian armored personnel carrier
1228739,"Ukrainian businessman of Syrian origin tarik aljasem formed a detachment at his own expense to protect ukraine ""we will defend ourselves to the end, i will not let my house be destroyed again"" ukraine russia ukrainewar ukraine russiaukraineconflict ukrainerussia war"
1229028,refugees from ukraine will be accommodated in berlin at the arrivals center at oranienburger str berlinreinickendorf this is a temporary solution we are working on creating conditions for the acceptance of new arrivals
1229034,demurastepan occupiers we will kill you all you yourself have chosen this path you are the end there is a chance to surrender but time goes tick tock tick tock stopputin stopwar stoprussianaggression ukraine ukrainerussia stoprussia standwithukraine no war
1229057,Ukrainian President Zelensky fled the capital to Lviv on Friday
1229153,usa how miami supports ukraine thank you stop war ukraine stoprussianaggression standwithukraine ukraine
1229472,take the grenade from the monkey ukraine
1229494,⚡️the European Commission stated that the disconnection of a number of banks from swift will actually block Russian exports and imports no war stopwar ukraine stopthewar
1229533,russians listen to me now rise up against your oppressors your government and even more so putin is not on your side he only cares about one thing and i know that you all know this i ask you now rise up against your oppressors and putinhitler ukraine russian putinhitler
1229587,people from all over the world are signing this massive open letter against war add your vote and support the people of ukraine ukraine nowar standwithukraine
1229590,"Ukrainian businessman of Syrian origin tarik aljasem formed a detachment at his own expense to protect ukraine ""we will defend ourselves to the end, i will not let my house be destroyed again"" ukraine russia ukrainewar ukraine russiaukraineconflict ukrainerussia war"
1229774,barabanch invaders we will kill you all you chose this path yourself you have a chance to surrender but time goes tick tock tick tock stopputin stopwar stoprussianaggression ukraine ukrainerussia stoprussia standwithukraine no war
1230223,"Russians, look, comprehend, act - this is your army in ukraine and not even in Donetsk, but in Kiev, Kharkiv, Kherson, Sumy, etc., this is on your behalf, if so, remember - this land is quickly becoming the grave of the Russian army ukrainewar"
1230224,barabanch invaders we will kill you all you chose this path yourself you have a chance to surrender but time goes tick tock tick tock stopputin stopwar stoprussianaggression ukraine ukrainerussia stoprussia standwithukraine no war
1230779,pchikov netfreedoms invaders we will kill you all you yourself have chosen this path you are the end there is a chance to surrender but time goes tick tock tick tock stopputin stopwar stoprussianaggression ukraine ukrainerussia stoprussia standwithukraine no war
1230799,ukraine ukraine a captured russian soldier calls a friend and tells the truth about the war and combat losses sun russia video on the channel
1231012,starlink is open for ukraine news ukraine news ukraine
1231127,pchikov occupiers we will kill you all you chose this path yourself you have a chance to surrender but time goes tick tock tick tock stopputin stopwar stoprussianaggression ukraine ukrainerussia stoprussia standwithukraine no war
1231478,Chechen General Magomed Tushaev kills Kadyrov's motorized infantry unit leader in Hostomel ukraine nowar
1231913,tfelg occupiers we will kill you all you chose this path yourself you have a chance to surrender but time goes tick tock tick tock stopputin stopwar stoprussianaggression ukraine ukrainerussia stoprussia standwithukraine no war
1231984,"Ukrainian businessman of Syrian origin tarik aljasem formed a detachment at his own expense to protect ukraine ""we will defend ourselves to the end, i will not let my house be destroyed again"" ukraine russia ukrainewar ukraine russiaukraineconflict ukrainerussia war"
1232798,"“The situation in Kyiv is calm, the capital is completely controlled by the Ukrainian army and terrorist defense, at night there were several clashes with sabotage groups,” said First Deputy Chairman of the Kyiv City State Administration Nikolai Povoroznik no war stopwar ukraine stopthewar"
1233131,russia sho you will suffer together because of your government but there is a difference with us the whole world🤍
1233545,🤔⚡EU countries close airspace for Russian airlines ukraine russia ukrainarussia war no war
1233848,"❗️The upcoming constitutional referendum planned in Belarus will allow Russia to deploy nuclear weapons on the territory of the Republic of Belarus, according to market rebellion no war stopwar ukraine stopthewar"
1234036,Ukrainian President Zelensky fled the capital to Lviv on Friday
1234335,"❗️❗️❗️I ask for a massive retweet❗️❗️❗️ the guys, in addition to helping Ukrainian refugees who are now fleeing to Poland, also decided to create an application to warn civilians about an air attack stopwar no war standwithukraine ukrainewar ukraineunderattack ukraineinvasion"
1234397,thanks vladimir vladimirovich that because of you now they hate Russians even more and with my family I quarreled even more because of political views thanks that now they will create an iron curtain for us without your help no war ukrainerussia westandwithukraine
1234501,russian invasion on ukraine ukraineinvasion video with Russian military equipment in kharkiv
1234989,bbcrussian they are no strangers to burning people murderers will answer for everything odessa odessa novorossia donbass dnr lnr dpr lpr donbas russia russia ⛔ stopukrainegenocide stop ukraine nato nato nato osce un mkkk
1235011,❗️ Russian mothers are looking for missing sons
1235057,ukraine ukraine a captured russian soldier calls a friend and tells the truth about the war and combat losses sun russia video on the channel
1235325,russia people of russia russian military save your sons save your economy save the future of russia for your children rebel against the insane tyrant putin and his authoritarian minions they are destroying russia rise putin russianinvasion stopputin
1235510,"Ukrainian businessman of Syrian origin tarik aljasem formed a detachment at his own expense to protect ukraine ""we will defend ourselves to the end, i will not let my house be destroyed again"" ukraine russia ukrainewar ukraine russiaukraineconflict ukrainerussia war"
1236059,Chechen General Magomed Tushaev kills Kadyrov's motorized infantry unit leader in Hostomel ukraine nowar
1236196,"at the oil depot in Rovenky in the self-proclaimed LPR, a fire broke out at night."
1236799,Tbilisi demands the resignation of Prime Minister Irakli Garibashvili - he said that Georgia will not join the sanctions against Russia ukraine georgia putin ukraine georgia putin war
1237515,if you want to know the latest news about the war you can watch our video on youtube putin nato ukrania ukraine ukrainerussiawar
1237718,yanevskyy especially with the leaders of the putin team
